chirp_mass mass_ratio distance phi ra dec
98.6299 0.393623 2859.0142 3.4338589 3.4338589 0.66143966
85.4189 0.20044616 1942.5702 3.8713589 3.8713589 1.0217156
85.44699 0.3116623 2239.2383 3.2229214 3.2229214 0.13959588
88.039566 0.1632956 2176.8665 4.281515 4.281515 0.8138795
84.201164 0.18899131 2344.6045 3.5822964 3.5822964 0.70297843
90.33824 0.15927708 1434.8988 4.3830776 4.3830776 0.755203
69.99095 0.22826034 1403.4536 4.000265 4.000265 0.87517905
91.39168 0.33752334 2832.082 3.2072964 3.2072964 0.37318966
59.96444 0.20790371 1625.836 5.978763 5.978763 -0.6142419
78.51968 0.26079 1634.2268 4.3518276 4.3518276 0.74052566
62.575527 0.16364965 1360.8981 3.3088589 3.3088589 0.6563388
96.5898 0.21253371 1483.5281 4.312765 4.312765 0.713477
94.72691 0.26125664 2521.313 3.3401089 3.3401089 0.61393034
84.591415 0.15911749 1549.9343 3.9533901 3.9533901 0.8825308
69.22542 0.2760258 1719.7814 0.21901512 0.21901512 -1.1482656
98.69404 0.27294868 2179.9797 3.8401089 3.8401089 0.98271406
69.156975 0.23440754 1548.1201 3.9221401 3.9221401 0.9830993
95.50395 0.275647 2064.6848 0.04714012 0.04714012 -1.1245235
99.219284 0.20921385 1759.4174 4.04714 4.04714 1.057832
86.65925 0.32649106 1726.0961 4.3479214 4.3479214 0.76184803
83.252365 0.31671417 2179.999 3.2268276 3.2268276 0.42110533
99.8264 0.23158956 2654.7231 3.3440151 3.3440151 0.6682253
91.159805 0.18908456 1684.7742 4.3947964 4.3947964 0.8088163
98.04696 0.27738774 2595.966 4.371359 4.371359 0.7350936
87.82783 0.19012016 1288.6837 4.406515 4.406515 0.74737537
92.82036 0.31075862 1963.627 4.406515 4.406515 0.76038384
84.24365 0.21732882 2190.2275 5.791263 5.791263 -0.562052
85.981186 0.13099316 2949.1528 3.4182339 3.4182339 0.5698738
82.88145 0.22206184 2439.7124 3.4143276 3.4143276 0.637023
95.316086 0.5096951 2175.0027 3.5002651 3.5002651 0.7300618
94.26428 0.23014128 2343.1633 3.5354214 3.5354214 0.69894165
95.97154 0.2579155 2019.4076 3.8205776 3.8205776 0.9323837
92.60458 0.33777288 1725.5529 4.0822964 4.0822964 0.9250019
82.12438 0.15297699 1867.0898 4.3479214 4.3479214 0.8328222
91.528854 0.17385775 1810.9851 0.15651512 0.15651512 -1.2220703
91.50008 0.247778 2853.6567 5.9982944 5.9982944 -0.55562896
83.93374 0.23030716 2031.3634 3.4846401 3.4846401 0.69463396
78.0728 0.23991111 1752.5461 3.9885464 3.9885464 0.95826274
95.80407 0.28991386 2329.9775 0.19557762 0.19557762 -1.1731601
99.2974 0.24840036 1589.9978 6.260013 6.260013 -0.8696178
89.12918 0.16046304 2082.1729 3.2658901 3.2658901 0.481514
91.43384 0.251886 2587.165 3.3987026 3.3987026 0.6595446
69.921844 0.236799 1494.1248 4.261984 4.261984 0.9198521
98.78812 0.22519729 2033.2671 3.8362026 3.8362026 0.99409634
99.30464 0.26112974 1665.3757 0.10182762 0.10182762 -1.1728159
84.05527 0.32321182 2045.5933 4.4143276 4.4143276 0.79205674
80.02533 0.2682016 1628.5101 4.32839 4.32839 0.7783894
92.516464 0.40208226 2146.2832 3.9377651 3.9377651 0.98976386
93.38991 0.41686386 1619.5405 4.308859 4.308859 0.7917456
90.90242 0.33949482 2757.8057 3.7971401 3.7971401 0.955295
72.58909 0.26617506 2101.4863 0.26589012 0.26589012 -1.1499747
75.64066 0.16028774 1673.7855 0.03932762 0.03932762 -1.1433702
92.33898 0.13501152 2428.6282 0.16042137 0.16042137 -1.1468799
44.0252 0.13626325 722.4715 4.2854214 4.2854214 0.7472479
